Tên VĐV,Đơn vị,Quốc gia,Hạt giống
Nguyễn Văn An,CLB Karate Hà Nội,VN,1
Trần Minh Bình,CLB Karate TP.HCM,VN,2
Lê Hoàng Cường,CLB Karate Đà Nẵng,VN,
Phạm Quốc Dũng,CLB Karate Hải Phòng,VN,
Võ Thanh Điệp,CLB Karate Cần Thơ,VN,
Hoàng Văn Phúc,CLB Karate Bình Dương,VN,
Đặng Minh Giang,CLB Karate Nghệ An,VN,
Bùi Đức Hiếu,CLB Karate Hà Nội,VN,
Ngô Quang Khải,CLB Karate TP.HCM,VN,
Vũ Văn Long,CLB Karate Thanh Hóa,VN,
Đinh Công Mạnh,CLB Karate Đà Nẵng,VN,
Lý Hoàng Nam,CLB Karate Khánh Hòa,VN,
Trương Văn Phong,CLB Karate Bình Định,VN,
Nguyễn Hữu Quân,CLB Karate Vũng Tàu,VN,
Phan Thanh Sơn,CLB Karate Quảng Ninh,VN,
Hồ Minh Tân,CLB Karate Huế,VN,
Lâm Văn Uyên,CLB Karate Cà Mau,VN,
Đỗ Quang Vinh,CLB Karate Lâm Đồng,VN,
Mai Xuân Yên,CLB Karate An Giang,VN,
Cao Đình Hoàng,CLB Karate Bắc Ninh,VN,
